TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Golden State Warriors,21,16,5,1013.0,112.2,101.8,10.4,63.2,2.03,19.1,25.5,73.2,50.8,13.1,54.5,58.1,98.04,57.2
Cleveland Cavaliers,22,12,10,1066.0,108.2,110.8,-2.5,52.2,1.52,15.3,28.9,74.4,51.3,13.6,51.2,55.0,92.29,48.3
Boston Celtics,19,11,8,922.0,107.0,106.0,1.0,58.2,1.82,16.5,25.6,74.7,49.4,12.3,50.0,54.1,93.81,49.9
Houston Rockets,17,11,6,816.0,108.3,106.4,1.8,50.6,1.56,14.7,25.1,75.5,49.4,12.4,51.4,55.2,96.91,49.7
New Orleans Pelicans,9,5,4,432.0,105.4,106.7,-1.3,62.7,1.86,19.0,21.5,76.2,49.7,13.8,53.3,56.2,104.06,50.4
Philadelphia 76ers,10,5,5,485.0,108.9,104.9,4.0,66.7,1.77,18.0,33.3,76.9,54.3,14.6,49.3,53.9,98.92,53.2
Utah Jazz,11,5,6,528.0,104.0,106.1,-2.1,53.7,1.30,15.5,25.5,75.4,50.7,15.8,52.0,54.9,98.50,48.8
Toronto Raptors,10,4,6,485.0,111.3,116.1,-4.8,56.0,1.56,16.7,27.2,71.9,49.6,14.5,53.6,57.8,95.31,46.9
Indiana Pacers,7,3,4,336.0,109.8,103.4,6.4,54.8,1.61,17.0,27.4,73.5,50.7,14.4,54.2,56.7,91.64,54.5
Milwaukee Bucks,7,3,4,341.0,108.5,108.8,-0.3,56.2,1.67,17.8,19.0,69.8,46.6,14.0,56.1,58.5,92.62,50.9
Oklahoma City Thunder,6,2,4,288.0,102.9,106.9,-4.0,43.9,1.17,12.8,26.1,71.3,48.5,14.2,49.0,52.8,98.50,46.9
Washington Wizards,6,2,4,288.0,109.4,110.8,-1.5,58.8,1.73,17.4,27.9,73.6,50.4,13.8,51.3,56.1,98.25,49.8
Miami Heat,5,1,4,240.0,101.8,112.2,-10.4,65.0,1.49,17.3,23.5,65.5,44.9,15.7,50.7,54.2,101.70,42.9
Minnesota Timberwolves,5,1,4,240.0,106.9,115.7,-8.8,58.9,1.78,17.4,24.5,74.5,50.6,13.3,51.5,54.8,95.20,47.5
San Antonio Spurs,5,1,4,240.0,102.1,111.6,-9.5,54.9,1.73,15.2,23.3,70.9,45.6,11.6,46.3,51.5,94.70,41.8
Portland Trail Blazers,4,0,4,192.0,105.2,113.9,-8.7,46.1,1.31,14.3,26.7,78.1,49.9,14.5,51.2,53.9,100.38,42.6
