TEAM,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Houston Rockets,82,65,17,3951.0,114.0,105.6,8.4,55.7,1.56,16.3,25.4,75.0,50.3,14.0,55.1,59.0,98.10,53.1
Toronto Raptors,82,59,23,3966.0,112.9,105.1,7.8,59.0,1.82,17.9,27.4,72.5,50.2,13.5,53.9,57.5,98.11,53.8
Golden State Warriors,82,58,24,3946.0,112.7,106.8,5.9,68.5,1.90,20.9,24.3,71.2,49.7,15.3,56.9,60.3,100.43,55.4
Boston Celtics,82,55,27,3961.0,106.7,103.1,3.6,58.6,1.60,17.0,26.3,73.9,50.4,14.4,51.8,55.2,96.82,51.9
Philadelphia 76ers,82,52,30,3956.0,108.3,103.8,4.5,66.3,1.64,19.1,28.6,73.6,52.0,16.3,53.5,56.8,100.90,54.2
Cleveland Cavaliers,82,50,32,3946.0,112.0,111.0,1.0,57.9,1.70,17.5,24.3,73.0,49.2,13.9,54.7,58.4,98.79,50.2
Portland Trail Blazers,82,49,33,3951.0,108.3,105.5,2.8,49.6,1.44,15.0,27.9,74.6,51.3,13.9,51.1,54.9,97.20,51.0
Indiana Pacers,82,48,34,3951.0,108.5,107.2,1.3,54.4,1.67,16.8,27.1,72.1,49.6,13.6,52.5,55.7,96.90,50.9
New Orleans Pelicans,82,48,34,3991.0,108.4,107.2,1.1,62.7,1.79,19.0,24.0,72.6,49.4,14.5,54.1,57.3,101.60,52.5
Oklahoma City Thunder,82,48,34,3966.0,109.9,106.3,3.6,53.5,1.53,15.8,32.0,72.5,51.5,14.3,51.4,54.6,97.43,50.8
Utah Jazz,82,48,34,3951.0,107.2,102.9,4.3,58.6,1.53,17.1,25.6,75.6,50.9,15.1,52.7,56.4,96.72,53.2
Minnesota Timberwolves,82,47,35,3961.0,112.3,110.1,2.2,55.3,1.82,17.0,28.9,72.0,50.3,12.8,52.3,56.6,96.84,51.8
San Antonio Spurs,82,47,35,3946.0,107.0,104.1,2.9,58.3,1.73,17.3,27.7,74.1,50.8,13.7,50.7,54.3,95.76,52.5
Denver Nuggets,82,46,36,3976.0,111.3,109.9,1.4,61.7,1.68,18.2,30.0,73.6,51.7,15.1,53.6,57.0,97.81,51.1
Miami Heat,82,44,38,3986.0,106.1,105.7,0.4,58.5,1.58,17.1,26.1,74.1,50.1,14.7,52.0,55.1,96.18,50.5
Milwaukee Bucks,82,44,38,3966.0,108.8,109.1,-0.3,58.5,1.68,17.6,24.4,70.9,48.0,14.1,53.1,57.1,97.16,50.2
Washington Wizards,82,43,39,3971.0,108.1,107.6,0.5,63.1,1.73,18.4,27.4,73.2,50.4,14.8,52.5,56.0,97.72,50.9
LA Clippers,82,42,40,3941.0,109.3,109.2,0.2,55.5,1.52,16.5,28.4,71.8,50.4,14.7,52.7,56.4,99.62,49.7
Detroit Pistons,82,39,43,3961.0,106.5,106.6,-0.1,58.2,1.70,17.1,26.9,74.0,49.9,13.8,51.2,54.3,96.81,48.9
Charlotte Hornets,82,36,46,3956.0,108.9,108.9,0.0,55.4,1.70,16.1,27.1,76.3,51.2,12.8,50.8,54.9,98.74,50.0
Los Angeles Lakers,82,35,47,3981.0,105.9,107.2,-1.3,58.4,1.51,17.0,27.9,72.9,50.5,15.5,51.7,54.8,100.97,49.1
New York Knicks,82,29,53,3966.0,106.2,109.6,-3.4,57.3,1.58,17.2,28.9,72.7,50.9,15.0,51.0,54.4,97.71,48.1
Brooklyn Nets,82,28,54,3971.0,106.0,109.6,-3.6,61.9,1.56,17.3,25.1,73.1,48.9,15.1,51.4,55.1,99.74,47.4
Chicago Bulls,82,27,55,3971.0,103.3,110.4,-7.1,60.7,1.68,17.3,25.6,76.7,50.0,14.0,49.7,52.9,98.74,45.3
Sacramento Kings,82,27,55,3951.0,103.0,110.3,-7.2,55.6,1.57,16.6,26.4,73.1,48.9,14.3,50.2,52.9,95.59,45.1
Orlando Magic,82,25,57,3946.0,104.7,109.3,-4.7,60.4,1.61,17.5,24.8,71.4,48.0,14.7,51.2,54.5,98.63,47.2
Atlanta Hawks,82,24,58,3941.0,104.4,110.0,-5.6,62.2,1.53,17.6,26.3,71.9,48.9,15.7,51.2,54.7,98.85,46.8
Dallas Mavericks,82,24,58,3961.0,105.4,108.2,-2.9,59.4,1.85,17.3,22.4,74.9,47.8,12.6,51.3,54.4,96.61,47.5
Memphis Grizzlies,82,22,60,3941.0,103.4,110.2,-6.7,58.6,1.44,16.5,27.6,72.1,49.3,15.6,50.0,53.9,95.78,46.0
Phoenix Suns,82,21,61,3941.0,102.6,111.6,-9.0,55.3,1.35,15.6,27.1,72.4,49.3,15.5,49.5,53.2,101.27,44.2
