TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Milwaukee Bucks,57,43,14,.754,48.2,116.9,43.3,90.2,48.0,13.1,37.4,34.9,17.3,22.5,76.9,9.0,39.8,48.8,26.2,14.2,7.8,5.9,4.8,20.0,20.2,9.8
Toronto Raptors,59,43,16,.729,48.4,114.3,42.2,89.7,47.0,11.5,33.3,34.6,18.5,22.9,80.5,10.3,34.9,45.2,24.7,13.9,8.5,5.3,4.7,21.4,20.9,5.6
Golden State Warriors,57,41,16,.719,48.4,118.8,44.2,89.9,49.1,12.9,33.5,38.4,17.6,21.7,81.2,10.1,36.3,46.4,29.5,13.9,7.5,6.5,3.5,21.6,20.2,7.1
Denver Nuggets,57,39,18,.684,48.2,112.0,42.5,90.1,47.2,11.0,31.0,35.4,16.1,21.2,75.8,12.1,34.2,46.3,27.6,13.4,7.7,4.5,5.1,20.0,20.5,4.9
Indiana Pacers,58,38,20,.655,48.1,108.1,41.8,87.4,47.8,9.4,25.4,37.1,15.1,20.0,75.6,9.2,34.1,43.3,26.1,13.9,8.8,5.0,5.1,19.2,19.7,5.2
Oklahoma City Thunder,57,37,20,.649,48.3,115.4,43.1,93.2,46.2,10.9,30.8,35.2,18.4,25.6,71.6,12.2,35.8,47.9,23.4,14.2,10.2,5.3,5.1,22.3,22.6,5.2
Boston Celtics,58,37,21,.638,48.3,113.0,42.1,90.5,46.5,13.1,35.3,37.2,15.7,19.3,81.3,10.2,34.9,45.1,26.4,13.2,8.8,5.7,3.9,20.6,19.7,6.4
Philadelphia 76ers,58,37,21,.638,48.4,115.9,41.5,87.3,47.5,11.3,31.2,36.1,21.7,28.0,77.5,10.4,36.5,47.0,27.4,15.5,7.7,5.5,4.0,21.9,22.8,3.7
Portland Trail Blazers,57,34,23,.596,48.4,113.3,41.7,90.0,46.4,11.2,30.7,36.3,18.7,22.9,81.6,11.2,36.3,47.6,22.8,14.0,6.6,5.0,5.4,20.5,20.6,3.0
Houston Rockets,57,33,24,.579,48.4,113.1,38.8,87.0,44.6,15.6,44.8,34.8,19.9,25.4,78.2,10.7,30.9,41.6,20.8,13.8,8.4,5.3,4.8,22.7,20.6,2.1
Utah Jazz,57,32,25,.561,48.0,109.2,39.4,85.4,46.1,11.6,33.5,34.6,18.8,25.7,73.3,9.7,35.6,45.3,25.0,15.3,8.3,5.5,4.8,21.0,22.5,3.2
San Antonio Spurs,59,33,26,.559,48.3,112.3,42.2,88.2,47.9,10.2,24.9,40.9,17.8,21.6,82.3,9.3,34.8,44.1,24.7,12.5,6.2,4.4,4.4,18.5,20.3,1.0
LA Clippers,59,32,27,.542,48.4,114.3,41.1,87.0,47.2,9.6,24.8,38.8,22.5,28.5,79.0,9.6,35.6,45.1,23.3,14.6,6.5,4.8,6.0,23.1,24.1,0.5
Sacramento Kings,57,30,27,.526,48.1,113.4,43.1,92.5,46.6,11.4,30.2,37.8,15.9,22.3,71.3,10.9,34.1,45.0,25.6,14.1,8.4,4.7,5.1,21.9,21.6,-1.2
Brooklyn Nets,59,30,29,.508,48.8,112.3,40.4,89.5,45.1,12.5,35.0,35.8,19.1,25.3,75.2,11.2,34.9,46.1,24.0,15.3,6.6,4.2,5.4,21.7,22.0,-0.4
Los Angeles Lakers,57,28,29,.491,48.4,112.2,42.8,90.5,47.3,10.3,30.5,33.9,16.2,23.6,68.7,10.1,36.9,47.0,24.9,15.9,7.5,5.5,5.4,20.7,21.2,-1.2
Charlotte Hornets,57,27,30,.474,48.4,110.8,40.4,89.9,44.9,11.7,33.5,35.0,18.4,23.4,78.6,10.1,34.4,44.4,23.2,12.5,7.1,5.2,6.3,19.3,20.8,-0.5
Minnesota Timberwolves,57,27,30,.474,48.3,111.9,41.1,91.1,45.2,10.0,28.5,35.2,19.6,24.6,79.6,11.8,33.3,45.1,24.5,13.2,8.6,5.2,5.5,20.3,22.1,0.2
Detroit Pistons,56,26,30,.464,48.5,106.6,38.7,88.4,43.8,11.6,34.4,33.8,17.6,23.6,74.5,11.3,34.1,45.5,22.3,14.8,6.9,3.8,5.4,22.6,22.0,-1.5
Miami Heat,56,26,30,.464,48.1,105.1,39.1,87.7,44.6,11.6,33.0,35.1,15.3,22.2,68.8,11.6,35.1,46.7,23.8,15.3,7.5,5.6,5.0,20.9,20.6,-0.6
Orlando Magic,59,27,32,.458,48.3,105.8,39.9,88.5,45.0,11.1,31.6,35.2,15.0,19.0,78.6,9.4,34.9,44.4,24.9,13.5,6.6,5.6,4.5,19.2,19.0,-1.1
Dallas Mavericks,57,26,31,.456,48.2,108.7,38.6,86.1,44.8,12.3,35.5,34.6,19.2,25.9,74.1,10.3,35.2,45.6,22.6,15.3,7.1,4.4,4.6,19.8,23.9,0.0
New Orleans Pelicans,59,26,33,.441,48.0,115.6,43.3,90.6,47.8,10.0,28.8,34.8,19.0,24.6,77.3,10.9,36.0,47.0,26.8,14.3,7.1,5.7,5.1,21.4,21.6,0.8
Washington Wizards,58,24,34,.414,48.7,113.9,42.1,89.7,47.0,11.6,33.4,34.8,18.0,23.7,76.1,8.9,31.9,40.9,26.6,14.1,8.7,4.8,4.6,21.3,21.6,-3.0
Memphis Grizzlies,59,23,36,.390,48.4,100.6,37.3,82.9,45.0,9.3,27.5,33.9,16.6,21.9,75.8,8.2,32.3,40.4,23.6,14.1,8.5,5.7,4.6,22.2,21.2,-3.2
Atlanta Hawks,58,19,39,.328,48.1,110.6,40.5,89.6,45.3,12.1,35.0,34.5,17.5,23.3,74.8,11.4,33.6,45.0,25.5,18.3,8.3,5.1,5.6,23.6,22.6,-7.6
